Comment,Designator,Footprint,LCSC Part #,Quantity
100nF,C1 C2 C3 C4 C9,C_0402_1005Metric,C1525,5
10uF,C5,C_0603_1608Metric,C19702,1
10nF,C6,C_0402_1005Metric,C15195,1
1uF,C7 C8,C_0402_1005Metric,C52923,2
10pF,C10 C11,C_0402_1005Metric,C32949,2
22uF,C12 C13,C_0805_2012Metric,C45783,2
RED LED,D1,LED_0603_1608Metric,C2286,1
120R@100MHz Ferrite Bead,FB1,L_0603_1608Metric,C1030,1
USB Micro-B,J1,USB_Micro-B_Wuerth_629105150521,C132563,1
1x4 2.54mm Pin Header,J2 J3 J4,PinHeader_1x04_P2.54mm_Vertical,C124378,3
10kΩ,R1,R_0402_1005Metric,C25744,1
1.5kΩ,R2 R3 R4 R5,R_0402_1005Metric,C25867,4
SPDT Slide Switch,SW1,SW_SPDT_PCM12,C221841,1
STM32F103C8T6,U1,LQFP-48_7x7mm_P0.5mm,C8734,1
AMS1117-3.3V,U2,SOT-223-3_TabPin2,C6186,1
16MHz Crystal 4-pin,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738,1
