Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,136.291543,-64.516000,0,top
C2,100n,C_0402_1005Metric,144.949262,-68.248144,270,top
C3,100n,C_0402_1005Metric,141.705459,-76.787139,180,top
C4,100n,C_0402_1005Metric,132.851103,-67.567977,90,top
C5,10u,C_0603_1608Metric,136.244798,-62.992000,0,top
C6,10n,C_0402_1005Metric,132.849885,-71.772916,90,top
C7,1u,C_0402_1005Metric,130.697594,-75.199521,180,top
C8,1u,C_0402_1005Metric,130.748295,-76.821960,180,top
C9,100n,C_0402_1005Metric,136.355126,-76.682020,0,top
C10,10p,C_0402_1005Metric,131.302302,-68.658724,90,top
C11,10p,C_0402_1005Metric,131.342197,-70.652185,90,top
C12,22u,C_0805_2012Metric,148.100527,-72.988634,0,top
C13,22u,C_0805_2012Metric,152.953255,-80.087210,90,top
D1,RED,LED_0603_1608Metric,156.198816,-80.371144,270,top
FB1,120R,L_0603_1608Metric,132.877746,-75.987021,270,top
J1,USB_B_Micro,USB_Micro-B_Wuerth_629105150521,158.249000,-71.320000,90,top
J2,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,139.392013,-58.783153,270,top
J3,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,152.810290,-58.753394,270,top
J4,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,131.947324,-83.913371,90,top
R1,10k,R_0402_1005Metric,127.927254,-65.483647,90,top
R2,1k5,R_0402_1005Metric,147.901653,-68.860863,270,top
R3,1k5,R_0402_1005Metric,158.190423,-77.035026,0,top
R4,1k5,R_0402_1005Metric,134.148961,-80.353970,180,top
R5,1k5,R_0402_1005Metric,136.576077,-80.341650,0,top
SW1,SW_SPDT,SW_SPDT_PCM12,123.919000,-66.212828,270,top
U1,STM32F103C8T6,LQFP-48_7x7mm_P0.5mm,138.797579,-70.771882,0,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,147.977955,-78.896566,270,top
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,128.761267,-69.758724,270,top
